text,label,label_numeric
Character writing is nuanced.,non-spam,0
Chromatic aberration option missing.,non-spam,0
Movement speed feels just right.,non-spam,0
Map reveals too much information.,non-spam,0
Subsurface scattering on skin.,non-spam,0
Stealth requires environmental awareness.,non-spam,0
Quick-time events break immersion.,non-spam,0
Factions remember your allegiances.,non-spam,0
UI scales poorly on 4K monitors.,non-spam,0
Physics-based combat is satisfying.,non-spam,0
Story has unexpected twists.,non-spam,0
Depth of field hides low-res backgrounds.,non-spam,0
Platforming sections are precise.,non-spam,0
Too many meaningless collectibles.,non-spam,0
Dynamic weather affects visibility.,non-spam,0
Crafting recipes are discovered naturally.,non-spam,0
NPCs react to your combat style.,non-spam,0
Fast travel should cost resources.,non-spam,0
Elemental weaknesses matter in combat.,non-spam,0
Camera auto-adjusts poorly.,non-spam,0
Realistic eye reflections and moisture.,non-spam,0
Stealth tools encourage creativity.,non-spam,0
Puzzles rely on trial and error.,non-spam,0
Your backstory affects dialogue options.,non-spam,0
Menu music is repetitive.,non-spam,0
Destruction creates emergent gameplay.,non-spam,0
Character motivations are believable.,non-spam,0
Film grain option would be nice.,non-spam,0
Movement animations are smooth.,non-spam,0
World feels too empty.,non-spam,0
Volumetric clouds look incredible.,non-spam,0
Alchemy requires experimentation.,non-spam,0
NPCs have unique relationships with each other.,non-spam,0
Too many confirmations for fast travel.,non-spam,0
Awesome game!,non-spam,0
Not bad.,non-spam,0
Yeah.,non-spam,0
Loved it!,non-spam,0
Trash.,non-spam,0
Try it,non-spam,0
Too many adds,non-spam,0
10/10,non-spam,0
5 stars,non-spam,0
Waste of money,non-spam,0
What a game... absolutely breathtaking.,non-spam,0
"Wait, what?! The ending shocked me!",non-spam,0
Seriously??? This needs a patch ASAP.,non-spam,0
OMG the graphics!!!,non-spam,0
WTF were they thinking with this UI?,non-spam,0
LOL the physics glitches are hilarious,non-spam,0
BRB need to play more,non-spam,0
SMH at these microtransactions,non-spam,0
IDK if I should recommend this,non-spam,0
TBH it's worth the price,non-spam,0
Check out my stream for gameplay tips!,non-spam,0
Follow me for more reviews,non-spam,0
Visit my channel for walkthroughs,non-spam,0
DM me if you need help with boss fights,non-spam,0
Free tips: headshots deal extra damage,non-spam,0
Want to team up? Add me!,non-spam,0
Join our Discord for co-op,non-spam,0
Subscribe for daily gaming content,non-spam,0
Like this if you agree,non-spam,0
Comment your thoughts below,non-spam,0
Does anyone know how to unlock the secret ending?,non-spam,0
What's the best build for mage?,non-spam,0
Is the DLC worth buying?,non-spam,0
Can you play this on Mac?,non-spam,0
How long to complete main story?,non-spam,0
Multiplayer still active?,non-spam,0
Best class for beginners?,non-spam,0
Controller or keyboard better?,non-spam,0
Any news about sequel?,non-spam,0
Patch notes anywhere?,non-spam,0
THIS GAME IS AMAZING!,non-spam,0
WORST GAME EVER MADE,non-spam,0
BUY THIS NOW,non-spam,0
DON'T WASTE YOUR MONEY,non-spam,0
MUST PLAY GAME,non-spam,0
AVOID AT ALL COSTS,non-spam,0
PERFECT 10/10,non-spam,0
INSTANT CLASSIC,non-spam,0
GAME OF THE YEAR,non-spam,0
COMPLETE GARBAGE,non-spam,0
Earned all achievements in 2 days!,non-spam,0
Made $0 streaming this but had fun,non-spam,0
Free demo convinced me to buy,non-spam,0
Got it for free on Epic Store,non-spam,0
100% completion took 200 hours,non-spam,0
Speedrun record: 1:23:45,non-spam,0
Beat the game without taking damage,non-spam,0
Found all 250 collectibles,non-spam,0
No-lifed this for a week straight,non-spam,0
Played beta and final is better,non-spam,0
tHiS GaMe iS WeIrD bUt fUn,non-spam,0
cOnTrOlS FeEl oFf,non-spam,0
gRaPhIcS ArE GoOd,non-spam,0
sToRy Is CoOl,non-spam,0
mUsIc Is NiCe,non-spam,0
gAmEpLaY Is sMoOtH,non-spam,0
bUgS EvErYwHeRe,non-spam,0
fUn BuT FlAwEd,non-spam,0
oK GaMe,non-spam,0
mE GaMe LiKe,non-spam,0
GET FREE VBUCKS NOW! CLICK LINK IN BIO!!!,spam,1
EARN $500 DAILY PLAYING GAMES! WORK FROM HOME!,spam,1
ADD ME FOR FREE CP CODES AND HACKS,spam,1
CLICK HERE FOR UNLIMITED GEMS NO SURVEY 2024,spam,1
FREE ROBUX GENERATOR NO HUMAN VERIFICATION,spam,1
WIN REAL MONEY PLAYING MOBILE GAMES!,spam,1
GET PREMIUM ACCOUNT FOR FREE!!! WORKING METHOD,spam,1
DOWNLOAD THIS APP TO EARN BITCOIN WHILE GAMING,spam,1
DOUBLE YOUR DIAMONDS WITH THIS GLITCH 2024,spam,1
FREE BATTLE PASS FOR EVERYONE!!!,spam,1
UNLOCK ALL SKINS WITH THIS SIMPLE TRICK,spam,1
GET PAID TO TEST GAMES - EASY $100 PER DAY,spam,1
FREE GIFT CARDS FOR PLAYSTATION NETWORK,spam,1
NO SCAM! REAL MONEY MAKING GAME APP,spam,1
INCREASE YOUR RANK INSTANTLY - DM ME,spam,1
FREE STEAM WALLET CODES GENERATOR,spam,1
MAKE $3000 MONTHLY PLAYING VIDEO GAMES,spam,1
HACK TOOL FOR UNLIMITED CURRENCY - VIRUS FREE,spam,1
GET VERIFIED SELLER ACCOUNTS CHEAP,spam,1
EARN CRYPTO WHILE YOU SLEEP - GAMING APP,spam,1
FREE XBOX GAME PASS ULTIMATE 3 YEARS,spam,1
CLICK TO CLAIM FREE PREMIUM LOOT BOXES,spam,1
GET RICH PLAYING GAMES - PROOF IN SCREENSHOTS,spam,1
UNBAN YOUR ACCOUNT WITH THIS METHOD 100% WORKING,spam,1
FREE NINTENDO SWITCH CODES DAILY,spam,1
MAKE REAL CASH COMPETING IN ESPORTS,spam,1
SKIN SELLING WEBSITE - INSTANT PAYOUT,spam,1
GAME TESTING JOBS $50/HOUR NO EXPERIENCE,spam,1
FREE ACCOUNT GIVEAWAY - LIKE AND SUBSCRIBE,spam,1
UNLIMITED GOLD GLITCH PATCHED BUT STILL WORKS,spam,1
DOWNLOAD MOD APK FOR PREMIUM FEATURES,spam,1
GET SPONSORED TO PLAY GAMES - EASY MONEY,spam,1
FREE IN-GAME ITEMS JUST ENTER EMAIL,spam,1
BOOST YOUR STATS WITH OUR SERVICE,spam,1
WIN IPHONE 15 PRO MAX - GAMING TOURNAMENT,spam,1
REMOVE ADS FOREVER WITH THIS HACK,spam,1
GET VERIFIED ON GAMING PLATFORMS EASILY,spam,1
EARN MONEY WATCHING GAMING VIDEOS,spam,1
FREE DOWNLOAD PAID GAMES NO CRACK,spam,1
INSTANT LEVEL 100 BOOST SERVICE CHEAP,spam,1
MAKE MONEY STREAMING - START TODAY!,spam,1
FREE V-BUCKS CODE: B8X3-7K9L-2M4N,spam,1
Unlock All Achievements Automatically,spam,1
Get Paid For Gaming Surveys - Easy Cash,spam,1
Free Premium Vpn For Gaming No Limit,spam,1
Doubling Any Item - Trusted Trader,spam,1
Earn $1000 Gaming Scholarship Apply Now,spam,1
Remove Cooldowns With This Simple Edit,spam,1
Get Famous On Twitch Overnight Method,spam,1
Free Game Keys Daily Giveaway,spam,1
Make Money From Gaming Clips Online,spam,1
Unlimited Resources Hack No Ban,spam,1
Get Verified Badge On All Platforms,spam,1
Earn Bitcoin Mining While Gaming App,spam,1
Free Access To Beta Tests Exclusive,spam,1
Instant Diamond Rank Boost Cheap,spam,1
Get Sponsored By Razer And Steelseries,spam,1
Free Premium Content No Credit Card,spam,1
Unban Hwid With Spoofer Tool,spam,1
Make Money Selling Game Accounts,spam,1
Free Fortnite Skins Generator 2024,spam,1
Aimbot And Wallhack Download Safe,spam,1
Get Paid To Create Game Mods,spam,1
Free Gaming Gear From Sponsors,spam,1
Unlock All Characters Glitch Working,spam,1
Earn Money From Gaming Tournaments,spam,1
Free Download Latest Games Torrent,spam,1
Boost K/D Ratio Service Guaranteed,spam,1
Get Verified On Discord Easily,spam,1
Minecraft Premium Account Free 2024,spam,1
Make Money Trading Cs:Go Skins,spam,1
Free Roblox Limited Items Claim Now,spam,1
Speed Hack For Any Game Undetected,spam,1
Get Paid For Beta Testing New Games,spam,1
Free Gaming Pc Giveaway Enter Now,spam,1
Unlimited Ammo And Health Cheat,spam,1
Earn Money Creating Gaming Content,spam,1
Free Steam Levels Boost Fast,spam,1
Instant Top 500 Rank Boost Service,spam,1
Get Sponsored By G-Fuel And Corsair,spam,1
Free Dlc Content Unlocker Tool,spam,1
Unban From Any Game Permanently,spam,1
Make Money Coaching Gamers Online,spam,1
Free Origin Access Codes Working,spam,1
Auto-Farm Bot For Mobile Games,spam,1
Get Paid To Review Games On Youtube,spam,1
Free Gaming Chair Giveaway 2024,spam,1
Unlock Premium Features No Root,spam,1
Earn Crypto With Play-To-Earn Games,spam,1
Free Uplay Codes Latest 2024,spam,1
Instant Prestige Master Boost,spam,1
Get Verified On Twitch Fast Method,spam,1
Free Gog Games Collection Torrent,spam,1
No Recoil Scripts For All Games,spam,1
Make Money Selling In-Game Items,spam,1
Free Ps Plus Codes 12 Months,spam,1
Esp Hack For Competitive Games,spam,1
Get Paid For Esports Betting Tips,spam,1
Free Xbox Live Gold Codes 2024,spam,1
Auto-Aim Config Files Download,spam,1
Earn Money From Gaming Affiliate,spam,1
Free Epic Games Store Coupons,spam,1
Unlock All Weapons And Attachments,spam,1
Get Sponsored By Red Bull Gaming,spam,1
Free Gaming Laptop Giveaway Enter,spam,1
Bypass Anticheat Methods 2024,spam,1
Make Money Streaming On Kick,spam,1
Free Blizzard Balance Codes,spam,1
Instant Champion Rank Boost,spam,1
Get Verified On Tiktok Gaming,spam,1
Free Game Pass Ultimate Codes,spam,1
Wallhack For Fps Games Undetected,spam,1
Earn Money Playing Nft Games,spam,1
Free Razer Products Giveaway,spam,1
Unlock All Maps And Modes,spam,1
Get Paid For Esports Analysis,spam,1
Free Steam Skins Market Items,spam,1
Aimbot For Console Games 2024,spam,1
Make Money From Gaming Blog,spam,1
Free Logitech Gear Giveaway,spam,1
Instant Radiant Rank Boost,spam,1
Get Sponsored By Twitch Prime,spam,1
free in-game currency no survey,spam,1
bypass ip ban easy method,spam,1
earn money gaming stocks,spam,1
free hyperx products contest,spam,1
unlock all trophies and awards,spam,1
get paid for game testing jobs,spam,1
free steam profile themes,spam,1
speed hack for racing games,spam,1
make money gaming podcast,spam,1
free asus rog giveaway 2024,spam,1
instant immortal rank service,spam,1
get verified on youtube gaming,spam,1
free game development course,spam,1
no spread configs all games,spam,1
earn money from game modding,spam,1
free nvidia gear giveaway,spam,1
unlock all customizations,spam,1
get sponsored by intel gaming,spam,1
free gaming monitor contest,spam,1
anti-aim scripts download,spam,1
make money gaming newsletter,spam,1
free amd products giveaway,spam,1
instant grandmaster boost,spam,1
get paid for game translation,spam,1
free discord nitro codes,spam,1
bunny hop scripts cs2/valorant,spam,1
earn money gaming consultant,spam,1
free gaming keyboard mouse,spam,1
unlock all endings glitch,spam,1
get sponsored by msi gaming,spam,1
free gaming headset 2024,spam,1
triggerbot for shooters,spam,1
make money gaming coach,spam,1
free cooler master gear,spam,1
instant supreme rank boost,spam,1
get verified on facebook gaming,spam,1
free gaming microphone,spam,1
radar hack for br games,spam,1
earn money game theory,spam,1
free gaming desk giveaway,spam,1
UNLOCK ALL SECRET AREAS,spam,1
GET SPONSORED BY SAMSUNG,spam,1
FREE GAMING CONTROLLER,spam,1
INSTANT HEADSHOT CONFIGS,spam,1
MAKE MONEY GAME JOURNALIST,spam,1
FREE GAMING GLASSES,spam,1
INSTANT TOP 100 BOOST,spam,1
GET PAID FOR GAME ART,spam,1
FREE GAMING MOUSEPAD,spam,1
NO FLASH CONFIGS ALL GAMES,spam,1
EARN MONEY GAME DESIGN,spam,1
FREE GAMING BACKPACK,spam,1
UNLOCK ALL DIFFICULTIES,spam,1
GET SPONSORED BY BENQ,spam,1
FREE GAMING WEBCAM,spam,1
INSTANT PREDATOR RANK,spam,1
MAKE MONEY GAME SOUND,spam,1
FREE GAMING SOCKS LOL,spam,1
GET VERIFIED ON TROVO,spam,1
FREE GAMING HOODIE,spam,1
AIM ASSIST MODS PC,spam,1
EARN MONEY GAME QA,spam,1
FREE GAMING TSHIRT,spam,1
UNLOCK ALL BOSSES,spam,1
GET SPONSORED BY NZXT,spam,1
FREE GAMING CAP,spam,1
INSTANT VALORANT RADIANT,spam,1
MAKE MONEY GAME MUSIC,spam,1
FREE GAMING STICKERS,spam,1
GET PAID FOR GAME VOICE,spam,1
FREE GAMING POSTER,spam,1
INSTANT CS2 FACEIT 10,spam,1
EARN MONEY GAME SCRIPT,spam,1
FREE GAMING LANYARD,spam,1
UNLOCK ALL CUTSCENES,spam,1
GET SPONSORED BY LENOVO,spam,1
FREE GAMING CUP,spam,1
INSTANT APEX PREDATOR,spam,1
MAKE MONEY GAME TEST,spam,1
FREE GAMING BOTTLE,spam,1
EARN MONEY GAME GUIDE,spam,1
free gaming popping,spam,1
unlock all music,spam,1
get sponsored by acer,spam,1
free gaming stand,spam,1
instant overwatch top500,spam,1
make money game trick,spam,1
free gaming cable,spam,1
get verified on dlive,spam,1
free gaming light,spam,1
instant rainbow siege,spam,1
earn money game tip,spam,1
free gaming cloth,spam,1
unlock all voicelines,spam,1
get sponsored by hp,spam,1
free gaming stand,spam,1
instant wow gladiator,spam,1
make money game data,spam,1
free gaming tape,spam,1
get paid for game help,spam,1
free gaming case,spam,1
instant lol challenger,spam,1
earn money game code,spam,1
free gaming screw,spam,1
unlock all emotes,spam,1
get sponsored by dell,spam,1
free gaming tool,spam,1
instant dota immortal,spam,1
make money game plan,spam,1
congratulations! you won a gift card,spam,1
get verified on mixer,spam,1
FREE GAMING WIRE,spam,1
INSTANT ROCKET LEAGUE,spam,1
EARN MONEY GAME IDEA,spam,1
FREE GAMING PLUG,spam,1
UNLOCK ALL POSES,spam,1
GET SPONSORED BY TOSHIBA,spam,1
FREE GAMING CLIP,spam,1
INSTANT PUBG CONQUEROR,spam,1
MAKE MONEY GAME HINT,spam,1
FREE GAMING BOLT,spam,1
GET PAID FOR GAME ADVICE,spam,1
FREE GAMING NUT,spam,1
INSTANT FIFA TOP DIV,spam,1
EARN MONEY GAME CLUE,spam,1
FREE GAMING RIVET,spam,1
UNLOCK ALL TITLES,spam,1
GET SPONSORED BY SONY,spam,1
Get Free Bitcoin While Gaming!,spam,1
Earn Crypto Coins Playing Games!,spam,1
Dogecoin Mining Game - Earn Real Coins!,spam,1
Free Ethereum Coins Daily!,spam,1
Play To Earn Crypto Coins!,spam,1
Coin Master Free Spins 2024!,spam,1
Free Coin Generator No Human Verification!,spam,1
Double Your In-Game Coins Now!,spam,1
Unlimited Coins Hack Working 2024!,spam,1
Claim Free Coins Every Hour!,spam,1
Make Real Money Playing Games!,spam,1
$1000 Daily Gaming Money Method!,spam,1
Get Paid Real Money For Gaming!,spam,1
Money Making Game Apps 2024!,spam,1
Earn Cash Playing Mobile Games!,spam,1
Free Money Giveaway For Gamers!,spam,1
Instant Money Transfer To Paypal!,spam,1
Money Back Guarantee For Boosting!,spam,1
Get Rich Quick Gaming Method!,spam,1
Money Transfer Hack For In-Game!,spam,1
Free Gold Generator 2024 No Survey!,spam,1
Unlimited Gold Glitch Patched!,spam,1
Gold Farming Service Cheap!,spam,1
Double Gold Event Join Now!,spam,1
Gold Selling Website Trusted!,spam,1
Free Gold Codes Daily!,spam,1
Gold Hack Tool Download Free!,spam,1
Gold Generator No Human Verification!,spam,1
Selling Gold Cheap Price!,spam,1
Gold Duplication Glitch Working!,spam,1
WIN FREE PRIZES PLAYING GAMES!,spam,1
DAILY PRIZE GIVEAWAY ENTER NOW!,spam,1
CLAIM YOUR PRIZE CLICK HERE!,spam,1
PRIZE WINNER NOTIFICATION CONGRATS!,spam,1
FREE GAMING PRIZES 2024!,spam,1
PRIZE REDEMPTION CENTER LINK!,spam,1
CONGRATULATIONS! YOU WON A PRIZE CLAIM NOW!,spam,1
PRIZE DRAW ENTER TO WIN!,spam,1
EXCLUSIVE PRIZES FOR GAMERS!,spam,1
PRIZE MONEY TRANSFER AVAILABLE!,spam,1
Gaming Lottery Win Big!,spam,1
Free Lottery Tickets Daily!,spam,1
Lottery Winner Announcement!,spam,1
Win Lottery Playing Games!,spam,1
Lottery Jackpot Giveaway!,spam,1
Free Lottery Entry 2024!,spam,1
Lottery Prize Claim Center!,spam,1
Instant Lottery Winner!,spam,1
Lottery Ticket Generator!,spam,1
Win Millions In Lottery!,spam,1
Invest In Gaming Stocks Earn!,spam,1
Gaming Crypto Investment 100x!,spam,1
Financial Freedom Through Games!,spam,1
Stock Market Gaming App Profit!,spam,1
Investment Opportunity Gaming!,spam,1
Financial Independence Gaming!,spam,1
Trading Bot For Game Items!,spam,1
Invest $100 Earn $1000 Daily!,spam,1
Financial Gaming Revolution!,spam,1
Stocks Crypto Gold All In One!,spam,1
$5000 Monthly Gaming Salary!,spam,1
Guaranteed Income Playing Games!,spam,1
Monthly Revenue From Gaming!,spam,1
Passive Income Gaming Apps!,spam,1
Daily Salary As Game Tester!,spam,1
Weekly Paycheck From Gaming!,spam,1
Fixed Income Gaming Jobs!,spam,1
Yearly Earnings $100k Gaming!,spam,1
Hourly Wage Playing Games!,spam,1
Residual Income Gaming Method!,spam,1
